2961_13488_000000	subito ouço bater á porta da sala vou abrir era um anjinho de cinco annos entra sára disse sabina
2961_13488_000972	entrei a espreital o durante o resto da tarde a seguil-o na chacara aonde todos desceram a passear vi-o conversar com d eusebia irmã do sargento mór domingues uma robusta donzellona que se não era bonita tambem não era feia
2961_13488_000973	cream me o menos mau é recordar ninguem se fie da felicidade presente ha nella uma gota da baba de caim corrido o tempo e cessado o espasmo
2961_13488_000974	chegou a perguntar-me se no meio do luto geral não sentia eu algum secreto encanto em ter escapado ás garras da peste mas esta pergunta era tão insensata que ficou sem resposta
2961_13488_000975	mas com a breca quem me explicará a razão desta differença um dia vimo nos tratámos o casamento desfizemol o e separamo-nos a frio sem dor porque não houvera paixão nenhuma mordeu me apenas algum despeito e nada mais
2961_13488_000976	e sobretudo se valia alguma cousa mais ou menos do que a consummação dos mesmos seculos tudo isto reflexões de um cerebro enfermo como ia de olhos fechados não via o caminho
2961_13488_000977	em verdade vos digo que toda a sabedoria humana não vale um par de botas curtas tu minha eugenia é que não as descalçaste nunca
2961_13488_000978	meu pae era homem de imaginação escapou á tanoaria nas azas de um calembour era um bom caracter meu pae varão digno e leal como poucos tinha é verdade uns fumos de pacholice mas quem não é um pouco pachola nesse mundo
2961_13488_000979	são phenomenos perfeitamente admiráveis capitulo cl rotação e translação ha em cada empreza affeição ou edade um cyclo inteiro da vida humana o primeiro numero do meu jornal encheu-me a alma de uma vasta
2961_13488_000980	mas duas ou tres vezes sómente em geral fitavam me com franqueza sem temeridade nem biocos capitulo xxxiii bemaventurados os que não descem
2961_13488_000981	para não pensar mais naquillo fui de noite á casa do lobo neves que instára muito commigo não deixasse de frequentar as recepções da mulher lá encontrei o chefe de policia fui lhe apresentado elle lembrou-se logo da carta e da meia dobra que eu lhe remettera alguns dias antes
2961_13488_000982	vestido e não aquelle ir a passeio ou outra cousa assim e ella cedia a tudo risonha e palreira você é das arabias dizia-me e ia pôr o vestido a renda os brincos com uma obediencia de encantar
2961_13488_000983	universo mas ai triste não o era de graça foi-me preciso colligir dinheiro multiplical o invental o primeiro explorei as larguezas de meu pae elle dava-me tudo o que eu lhe pedia sem reprehensão sem demora sem frieza dizia a todos que eu era
2961_13488_000984	assim a minha idéa trazia duas faces como as medalhas uma virada para o publico outra para mim de um lado philanthropia e lucro de outro lado sêde de nomeada digamos amor da gloria
2961_13488_000985	e dado que sim o que menos convinha a essa anonyma era apparental o de pé á cabeceira da cama com os olhos estúpidos a boca entreaberta a triste senhora mal podia crêr na minha extincção morto morto dizia comsigo
2961_13488_000986	recuou o sol sacudi todas as miserias e este punhado de pó que a morte ia espalhar na eternidade do nada pôde mais do que tempo que é o ministro da morte nenhuma agua de juventa egualaria alli a simples saudade
2961_13488_000987	elle esteve alguns instantes de pé a olhar para mim depois estendeu-me a mão com um gesto commovido meu filho conforma te com a vontade de deus
2961_13488_000988	sublime és tu bradei eu lançando lhe os braços ao pescoço com effeito era impossível crer que um homem tão profundo pudesse chegar á demencia e foi o que lhe disse após o meu abraço denunciando lhe a suspeita do
2961_13488_000989	seres entendeste me disse ella no fim de algum tempo de mutua contemplação não respondi nem quero entender te tu és absurda tu és uma fabula
2961_13488_000990	o quincas borba divergiu do alienista em relação ao meu criado póde-se por imagem disse elle attribuir ao teu criado a mania de atheniense mas imagens não são idéas nem observações tomadas á natureza
2961_13488_000991	está bem deixe-me ficar algum tempo mais estou na pista de um mysterio que mysterio de dous emendou a sandice o da vida e o da morte peço-lhe só uns dez minutos
2961_13488_000992	porque isto não é romance em que o autor sobredoura a realidade e fecha os olhos ás sardas e espinhas mas tambem não digo que lhe maculasse o rosto nenhuma sarda ou espinha não era bonita fresca sahia das mãos da natureza cheia daquelle
2961_13488_000993	meu pae um pouco despeitado com aquella indifferença ergueu-se veiu a mim lançou os olhos ao papel virgilio exclamou és tu meu rapaz a tua noiva chama-se justamente virgilia capitulo
2961_13488_000994	braços robustos fez-me sentar ao pé de si na varanda entre muitas exclamações de contentamento ora o brázinho um homem quem diria ha annos um homemzarrão e bonito qual você não se lembra bem de mim disse-lhe que sim que não era possivel esquecer uma
2961_13488_000995	ouro e olhos de diamante digo lá dentro porque cá fóra o que esvoaçou foi uma borboleta preta que subitamente penetrou na varanda e começou a bater as azas em derredor de d eusebia d eusebia deu um grito levantou-se praguejou umas palavras soltas t'esconjuro sáe
2961_13488_000996	lá iremos quando eu me restituir aos primeiros annos agora quero morrer tranquillamente methodicamente ouvindo os soluços das damas as fallas baixas dos homens a chuva que tamborila nas folhas de tinhorão da chacara
2961_13488_000997	piedoso severo nos costumes minucioso na observancia das regras frouxo acanhado subalterno possuia algumas virtudes em que era exemplar mas carecia absolutamente da força de as incutir de as impôr aos outros
2961_13488_000998	o dr villaça deu um beijo em d eusebia bradei eu correndo pela chacara foi um estouro esta minha palavra a estupefacção immobilisou a todos
2961_13488_000999	virgilia reflectiu um instante levantou os hombros e disse com gravidade estou velha ninguem mais repara em mim mas para cortar duvidas virei
2961_13488_001000	isso para te não molestar vem cá chiquito não sejas assim desconfiado commigo amei a outro que importa se acabou um dia quando nos separarmos não digas isso bradei eu tudo cessa um dia não pôde acabar um soluço estrangulou lhe a voz
2961_13488_001001	sim o teu olhar fascina me creio eu não sou somente a vida sou tambem a morte e tu estás prestes a devolver me o que te emprestei grande lascivo espera te a voluptuosidade do nada
2961_13488_001002	se elle a encontrava ainda nas horas da aula dava um pulo circulava os olhos chammejantes dizia nos os ultimos nomes eramos sevandijas capadocios mal criados moleques
2961_13488_001003	o boleeiro atiçou as bestas a sege entrou a sacolejar me as molas gemiam as rodas sulcavam rapidamente a lama que deixara a chuva recente e tudo isso me parecia estar parado
2961_13488_001004	talvez fosse para encobrir o defeito mas por que razão o confessava agora olhei para ella e reparei que ia triste tratei de apagar os vestigios de meu desaso não me foi difficil por que a mãe era segundo confessara uma velha patusca
2961_13488_001005	respirei como um homem que vem de longo caminho de modo que se eu disser que a vida humana nutre de si mesma outras vidas mais ou menos ephemeras como o corpo alimenta os seus parasitas creio não dizer uma cousa inteiramente absurda mas para não arriscar essa figura
2961_13488_001006	e fixei os olhos e continuei a ver as edades que vinham chegando e passando já então tranquillo e resoluto não sei até se alegre talvez alegre
2961_13488_001007	agora porém que estou cá do outro lado da vida posso confessar tudo o que me influiu principalmente foi o gosto de ver impressas nos jornaes mostradores folhetos esquinas e emfim nas caixinhas do remedio estas tres palavras
2961_13488_001008	dahi a torcer me o nariz só porque ainda não chegámos á parte narrativa destas memorias lá iremos creio que prefere a anecdota á reflexão como os outros leitores seus confrades e acho que faz muito bem pois lá iremos todavia importa dizer que
2961_13488_001009	ainda sem esta circumstancia não aconteça algumas vezes persistir a memoria do obsequio acompanhada de certa affeição mais ou menos intensa mas são verdadeiras aberrações sem nenhum valor aos olhos de um philosopho mas repliquei eu se nenhuma razão ha para que perdure a memoria do
2961_13488_001010	cheio um golpe de ar adoeci logo e não me tratei tinha o emplasto no cerebro trazia commigo a idéa fixa dos doudos e dos fortes via-me ao longe ascender do chão das turbas e remontar ao ceu como uma aguia immortal e não é deante de tão excelso expectaculo que um
2961_13488_001011	conheces de sobejo tudo o que eu te deparei menos torpe ou menos afflictivo o alvor do dia a melancholia da tarde a quietação da noite os aspectos da terra o somno emfim o maior beneficio das minhas mãos que mais queres tu sublime idiota
2961_13488_001012	e notai bem que eu vi a gravura turca dous annos depois das palavras de damasceno e vi-a na camara dos deputados em meio de grande borborinho emquanto um deputado discutia um parecer da commissão de orçamento sendo eu tambem deputado para quem ha
2961_13488_001013	capitulo cxlviii o problema insoluvel publiquei o jornal vinte e quatro horas depois apparecia em outros uma declaração do cotrim dizendo era substancia
2961_13488_001014	estes cinco contos dizia eu com migo tres semanas depois hei de empregal os em alguma acção bôa talvez um dote a alguma menina pobre ou outra cousa assim hei de ver nesse mesmo dia levei os ao banco do brazil
2961_13488_001015	determinou o contrario e ahi vos ficaes eternamente hypocondriacos este ultimo capitulo é todo de negativas não alcancei a celebridade do emplasto não fui ministro não fui califa não conheci o casamento verdade é que
2961_13488_001016	passa pela minha janella entra e dá commigo supponho que nunca teria visto um homem não sabia portanto o que era o homem
2961_13488_001017	vejam como é bom ser superior ás borboletas porque é justo dizel-o se ella fosse azul ou côr de laranja não teria mais segura a vida não era impossivel que eu
2961_13488_001018	nos meus olhos na minha vida no meu pensamento era o que dizia e era verdade ha umas plantas que nascem e crescem depressa outras são tardias e pecas
2961_13488_001019	a razão poz-se a rir has de ser sempre a mesma cousa sempre a mesma cousa sempre a mesma cousa e dizendo isto travou-lhe dos pulsos e arrastou-a para fóra depois entrou e fechou-se
2961_13488_001020	descreveu infinitas voltas em torno do meu corpo e viu que me movia que tinha olhos braços pernas um ar divino uma estatura collossal
2961_13488_001021	lancei mão de uma toalha e enxotei essa outra borboleta preta que me adejava no cerebro fiquei alliviado e fui dormir mas o sonho que é uma fresta do espirito deixou novamente entrar o bichinho
2961_13488_001022	vi claramente vista a meia dobra da vespera redonda brilhante nitida multiplicando se por si mesma ser dez depois trinta depois quinhentas
2961_13488_001023	é minha dizia eu ao chegar á porta de casa mas ahi como se o destino ou o acaso ou o que quer que fosse se lembrasse de dar algum pasto aos meus arroubos possessorios luziu me no chão uma cousa redonda e amarella
2961_13488_001024	gostava muito das nossas antigas dobras de ouro e eu levava-lhe quantas podia obter marcella juntava as todas dentro de uma caixinha de ferro cuja chave ninguem nunca jámais soube onde ficava escondia a por medo dos escravos a casa em que morava nos cajueiros era propria
2961_13488_001025	que na verdade ha dous meios de grangear a vontade das mulheres o violento como o touro de europa e o insinuativo como o cysne de leda e a chuva de ouro de danae tres inventos do padre zeus que por estarem fóra da moda ahi ficam trocados no cavallo e no asno
2961_13488_001026	quem ficava longe aconcheava a mão atraz da orelha para não perder palavra a mór parte antes mesmo da glosa tinha já um meio riso de applauso trivial e candido quanto a mim lá estava solitario e deslembrado a namorar uma certa compota da minha feição
2961_13488_001027	defeito que aliás achava alguma compensação no typo que era elegante e na encadernação que era luxuosa dadas as voltas ao passar pela rua dos ourives consulto o relogio e cáe me o vidro na calçada
2961_13488_001028	era á sobremeza ninguem já pensava em comer no intervallo das glosas corria um borborinho alegre um palavrear de estomagos satisfeitos
2961_13488_001029	eil-o ahi fica privado da estima dos graves e do amor dos frivolos que são as duas columnas maximas da opinião mas eu ainda espero angariar as sympatias da opinião e o meio efficaz para isso é fugir a um prologo explicito e longo
2961_13488_001030	na sala mortuaria achei virgilia ao pé do feretro a soluçar quando levantou a cabeça vi que chorava deveras ao sair o enterro abraçou-se ao caixão afflicta vieram tiral a e leval-a para dentro digo vos que as lagrimas eram
2961_13488_001031	juro vos que em nada relêde o cap xxviii eu que levava idéas a respeito da pequena fitei a de certo modo ella que não sei se as tinha não me fitou de modo differente e o nosso olhar primeiro foi pura e simplesmente conjugal
2961_13488_001032	affirmo sómente que foi a phase mais brilhante da minha vida os quadros eram tristes tinham a monotonia da desgraça que é tão aborrecida como a do gozo e talvez peor
2961_13488_001033	não acabarei porém o capitulo sem dizer que vi morrer no hospital da ordem adivinhem quem a linda marcella e vi-a morrer no mesmo dia em que visitando um cortiço para distribuir esmolas achei agora é que não são capazes de adivinhar
2961_13488_001034	um poeta dizia que o menino é pae do homem se isto é verdade vejamos alguns lineamentos do menino desde os cinco annos merecera eu a alcunha de menino diabo e verdadeiramente não era outra cousa
2961_13488_001035	afinal já a sandice se contentava com um cantinho no sotão não senhora replicou a razão estou cançada de lhe ceder sotãos cançada e experimentada o que você quer é passar mansamente do sotão á sala de jantar dahi á de visitas e ao resto
2961_13488_001036	um pagem que nos deixava gazear a eschola ir caçar ninhos de passaros ou perseguir lagartixas no morro do livramento e da conceição ou simplesmente arruar á toa como dous peraltas sem emprego
2961_13488_001037	uma vez alliviado respirei á larga e deitei me a fio comprido emquanto os pés e todo eu atraz delles entravamos n'uma relativa bem-aventurança
2961_13488_001038	deu-me um estremecimento passageiro é certo mas desagradavel e depois a tarde tinha o peso e a côr do chumbo o cemiterio as roupas pretas capitulo cli
2961_13488_001039	e conclui que não sobre o jantar fui outra vez ao gabinete examinei o dinheiro e ri-me dos meus cuidados maternaes a respeito de cinco contos eu que era abastado
2961_13488_001040	eu desci da tijuca na manhã seguinte um pouco amargurado outro pouco satisfeito e vinha dizendo a mim mesmo que era justo obedecer a meu pae que era conveniente abraçar a carreira politica que a constituição que a minha noiva que o meu cavallo
2961_13488_001041	para distrair-me convidou-me a sair saimos para os lados do engenho velho iamos a pé philosophando as cousas nunca me hade esquecer o beneficio desse passeio que me restituiu o socego e a força
2961_13488_001042	e mandou buscar um maço de papeis á escrivaninha não tendo forças para tirar a fita de borracha que prendia os papeis pediu-me que os deslaçasse fil-o
2961_13488_001043	flores doces os bons doces de outros dias e muito riso muito affago um riso e um affago que cresciam com o tempo como se ella quizesse fixar a nossa aventura ou restituir lhe a primeira flor
2961_13488_001044	é natural os senhores são todos os mesmos o barão dizia hontem no camarote que uma só italiana vale por cinco brazileiras que desaforo e desaforo de velho que é peor mas porque é que o senhor não foi hontem ao theatro
2961_13488_001045	e deus viu que isto era bom como se diz na escriptura capitulo civ era elle restitui o grampo a virgilia que o repregou nos cabellos e preparou-se para sair
2961_13488_001046	vinham tossidas estas palavras ás golfadas ás syllabas como se fossem migalhas de um pulmão desfeito nas orbitas fundas rolavam os olhos lampejantes que me faziam lembrar a lamparina da madrugada
2961_13488_001047	e mais dolorosamente a que ostentou suas graças em flor sob o ministerio paraná porque esta acha-se mais perto do triumpho e sente já que outras lhe tomaram o carro
2961_13488_001048	e toda a natureza me bradava que era preciso levar marcella commigo por força por força dizia eu ferindo o ar com uma punhada emfim tive uma idéa salvadora ah trapezio dos meus peccados trapezio das concepções abstrusas
2961_13488_001049	sr braz cubas a rejuvenescencia estava na sala nos crystaes nas luzes nas sedas emfim nos outros capitulo cxxxv oblivion e
2961_13488_001050	cotrim elle ouviu-me e respondeu-me seriamente que não tinha opinião em negocio de parentes seus podiam suppor lhe algum interesse se acaso louvasse as raras prendas de nhã loló por isso calava-se mais
2961_13488_001051	esse sim era um homem digno muito superior a mim delicado um primor de cortezia e affeição é o que ella dizia emquanto eu sentado com os braços fincados nos joelhos olhava para o chão onde uma mosca arrastava uma formiga que lhe mordia o pé
2961_13488_001052	adeus amores adeus marcella dias de delirio joias sem preço vida sem regimen adeus cá me vou ás fadigas e á gloria deixo vos com as calcinhas da primeira edade
2961_13488_001053	logo o homem que disputa o osso a um cão tem sobre este a grande vantagem de saber que tem fome e é isto que torna grandiosa a luta como eu dizia
2961_13488_001054	entretanto o nhonhô chegava á sala sem os pulos do costume mas discreto meigo serio o viegas gostava muito delle
2961_13488_001055	nunca me viu perguntou virgilia vendo que a encarava com insistência tão bonita nunca sentei-me emquanto virgilia calada fazia estalar as unhas
2961_13488_001056	eu deixei-me estar a vel os a namorar lhe a boca fresca como a madrugada e insaciavel como a morte a belleza de virgilia tinha agora um tom grandioso que não possuira antes de casar
2961_13488_001057	quanto á gesticulação sem que houvesse perdido a viveza de outro tempo não tinha já a desordem sujeitava se a um certo methodo mas eu não quero descrevel o
2961_13488_001058	os olhos que eram travessos fizeram-se murchos tinha o labio triste e a attitude cançada olhei a bem peguei-lhe na mão e chamei a brandamente a mim não me enganava eram as bexigas creio que fiz um gesto de repulsa
2961_13488_001059	era tarde tinham dado tres horas tudo estava esquecido e perdoado d placida que espreitava a occasião idonea para a saída fecha subitamente a janella e exclama virgem nossa senhora ahi vem o marido de yayá
2961_13488_001060	ha muito tempo disse-me elle não entrára serio pesado derramando os olhos de um modo distrahido costume seu que trocou logo por uma verdadeira expansão de jovialidade quando viu chegar o filho o nhonhô o futuro bacharel do cap viii
2961_13488_001061	não falava muito nem sempre possuia a grande arte de escutar os outros espiando os reclinava se então na cadeira desembainhava um olhar afiado e comprido e deixava-se estar
2961_13488_001062	eu deixei-me estar alguns minutos á popa com os olhos naquelle ponto incerto do mar em que ficava um de nós fui dalli ter com o capitão para
2961_13488_001063	em pontos de aventura amorosa achei homens que sorriam ou negavam a custo de um modo frio monosyllabico etc ao passo que as parceiras não davam por si e jurariam aos santos evangelhos que era tudo uma calumnia
2961_13488_001064	gemia e soffria agora porém que era livre dispunha de si mesmo dos braços das pernas podia trabalhar folgar dormir desagrilhoado da antiga condição agora é que elle se desbancava
2961_13488_001065	contrarias achava-me feliz certo é que os diamantes corrompiam me um pouco a felicidade mas não é menos certo que uma dama bonita pode muito bem amar os gregos e os seus presentes e depois eu confiava na minha boa marcella podia ter defeitos mas amava-me
2961_13488_001066	esse homem vero fidalgo de raça transtornara um pouco a cabeça de virgilia que além do mais possuia a vocação diplomatica não chego a alcançar o que seria de mim se não rebentasse na dalmacia uma revolução que derrocou o governo e purificou as embaixadas
2961_13488_001067	a terceira força veja a primeira linha do capitulo passado a terceira força que me chamava ao bulicio era a impaciencia de luzir e sobretudo a incapacidade de viver só
2961_13488_001068	imagina por exemplo que eu não tinha nascido continuou o quincas borba é positivo que não teria agora o prazer de conversar comtigo comer esta batata ir ao theatro e para tudo dizer n'uma só palavra viver
2961_13488_001069	toma diabo dizia elle toma mais perdão bebado meu senhor gemia o outro cala a boca besta replicava o vergalho parei olhei justos ceus quem havia de ser o do vergalho
2961_13488_001070	eu estava enjoado dessa abjecção tão comica e tão triste e preparei me para sair não vá sem eu lhe ensinar a minha philosophia da miseria disse elle escarranchando se diante de mim
2961_13488_001071	notei lhe a perfeição da sobrecasaca a alvura da camisa o aceio das botas a mesma voz roufenha outr'ora parecia restituida á primitiva sonoridade
2961_13488_001072	capitulo xc o velho colloquio de adão e caim e nada nenhuma lembrança testamentaria uma pastilha que fosse com que do todo em todo não parecesse ingrato ou esquecido nada
2961_13488_001073	mas este capitulo não é serio capitulo cxxxiii o principio de helvetius estavamos ao ponto era que o official de marinha me arrancou a confissão dos amores de virgilia e aqui emendo eu o principio de helvetius ou por outra explico o
2961_13488_001074	de costume jantava ahi mas não tendo deliberadamente andado nenhum merecimento da acção me cabe e sim ás pernas que a fizeram abençoadas pernas e ha quem vos trate com desdem ou indifferença
2961_13488_001075	então resolvia embarcar immediatamente para cortar a minha vida em duas metades e deleitava me com a idéa de que marcella sabendo da partida ficaria ralada de saudades e remorsos
2961_13488_001076	estava certo de que a sobrinha nutria por mim verdadeira paixão mas se ella o consultasse o seu conselho seria negativo não era levado por nenhum odio apreciava as minhas bôas qualidades não se fartava de as elogiar como era de justiça
2961_13488_001077	sem filhos eis o dardo secreto a idéa de ter filhos deu-me um sobresalto percorreu me outra vez o fluido mysterioso sim cumpria ser pae
2961_13488_001078	de maneira que se a carta apparecesse era mui difficil attribuir-lhe a autoria virei e revirei o papel pobre d placida mas eu tinha-lhe deixado os cinco contos da praia da gambôa enão podia comprehender que
2961_13488_001079	a idéa salvadora trabalhou nelle como a do emplasto cap ii era nada menos que fascinal a fascinal a muito deslumbral a arrastal a lembrou-me pedir-lhe por um meio mais concreto do que a supplica
2961_13488_001080	attitudes diversas uns de cócaras outros com as mãos apoiadas nos joelhos estes sentados em pedras aquelles encostados ao muro e todos com os olhos fixos no centro e as almas debruçadas das pupillas que é perguntou-me
2961_13488_001081	a narração do quincas borba dava-lhe uma palmada elle subia quando ia a cair o bilhete de virgilia dava-lhe outra palmada e elle era de novo arremessado aos ares descia e o episodio do passeio publico recebia o com outra palmada egualmente rija e efficaz
2961_13488_001082	no fim de meia hora ninguem diria que elle não era o mais afortunado dos homens conversava chasqueava e ria e riam todos capitulo lix um encontro
2961_13488_001083	que digo como quem leva cartas ao correio sellei as cartas metti as na caixinha e deixei ao carteiro o cuidado de as entregar em mão propria
2961_13488_001084	o doente ficou a olhar para o tecto calado a arfar muito virgilia empallideceu levantou-se foi até á janella suspeitara a morte e tinha medo
2961_13488_001085	sentado no chão com a cabeça entre os joelhos della apertando-lhe muito as mãos offegante desvairado pedi-lhe com lagrymas que me não desamparasse marcella esteve alguns instantes a olhar para mim
2961_13488_001086	então pareceu-me que o corredor de marcella era a alameda e que a rua era a de bagdad com effeito olhando para a porta vi na calçada tres dos correeiros um de batina outro de libré outro á paisana
2961_13488_001087	um cocheiro philosopho costumava dizer que o gosto da carruagem seria diminuto se todos andassem de carruagem crê em ti mas nem sempre duvides dos outros
2961_13488_001088	um despeitosinho agudo como ponta de alfinete o qual se desfez com charutos murros leituras truncadas até romper a aurora a mais tranquilla das auroras
2961_13488_001089	a dôr segundo o humanitismo é uma pura illusão quando a criança é ameaçada por um páu antes mesmo de ter sido espancada fecha os olhos e treme
2961_13488_001090	e foi assim que desembarquei em lisboa e segui para coimbra a universidade esperava me com as suas materias arduas e não sei se profundas estudei as muito mediocremente e nem por isso perdi o gráu de bacharel
2961_13488_001091	e as virtudes devem ser como os orçamentos melhor é o saldo que o deficit como era muito secco de maneiras tinha inimigos que chegavam a accusal o de barbaro
2961_13488_001092	um dos ouvintes coçou o nariz outro consultou o relogio o terceiro tamborilou sobre o joelho o quarto deu algumas pernadas pela sala o quinto era eu
2961_13488_001093	saibam mais que elle herdára alguns pares de contos de réis de um velho tio de barbacena meu espirito permittam me aqui uma comparação de criança meu espirito era n'aquella occasião uma especie de peteca
2961_13488_001094	ceus era outra vez a fresca a juvenil a florida virgilia em vão procurei no rosto delia algum vestigio da doença nenhum havia era a pelle fina e branca do costume
2961_13488_001095	capitulo lx o abraço cuidei que o pobre diabo estivesse doudo e ia afastar me quando elle me pegou no pulso e olhou alguns instantes para o brilhante que eu trazia no dedo
2961_13488_001096	saltar de um retrato a um epitaphio póde ser real e commum o leitor entretanto não se refugia no livro senão para escapar á vida
2961_13488_001097	a evolução porém é tão profunda que mal se lhe podem assignar alguns milhares de annos o quincas borba leu me dahi a dias a sua grande obra eram quatro volumes manuscriptos de cem paginas cada um com letra miuda e citações latinas
2961_13488_001098	foi nessa occasião que nhã loló me puxou brandamente pelo braço dizendo que nos fossemos embora aceitei o conselho e vim com ella por alli abaixo já disse que o morro era então deshabitado
2961_13488_001099	o lobo neves acompanhava me com muita placidez e dignidade e até com certa benevolencia superior e tudo aquillo me irritava tambem e me tornava mais amargo e longo o jantar
2961_13488_001100	a mulher não podia já cuidar delle entregue ao terror da morte rezava por si mesma a todos os santos do céu emfim a tempestade amainou depois de longas horas e confesso que foi uma diversão excellente á tempestade do meu coração
2961_13488_001101	alem disso e refiro-me sempre aos casos defesos a mulher quando ama outro homem parece-lhe que mente a um dever e portanto tem de dissimular com arte maior tem de refinar a aleivosia ao
2961_13488_001102	digo apenas que o homem mais probo que conheci em minha vida foi um certo jacob medeiros ou jacob valladares não me recorda bem o nome
2961_13488_001103	mas cochillando a sua fadiga um pouco cobiçosos de cama e de repouso então e vejam até que ponto póde ir a imaginação de um homem com somno então pareceu-me ouvir de um morcego encarapitado no
2961_13488_001104	essa predisposição é que constitue a base da illusão humana herdada e transmittida não basta certamente a adopção do systema para acabar logo com a dôr mas é indispensavel
2961_13488_001105	esta é a reflexão immoral que eu pretendia fazer a qual é ainda mais obscura do que immoral porque não se entende bem o que eu quero dizer
2961_13488_001106	a terceira é a pontualidade dos pagamentos a quarta o valor militar e assim por diante capitulo cxix parenthesis
2961_13488_001107	soberbo scenario vida movimento e graça na representação escripturei me deram-me um papel que mas para que o estou a fatigar com isto deixe-me ficar com as minhas amofinações creia que tenho passado horas e dias
2961_13488_001108	tomou-o nos braços levantou o ao ar beijou-o muitas vezes eu que tinha odio ao menino afastei-me de ambos virgilia tornou á sala ah respirou o lobo neves sentando-se preguiçosamente no sophá
2961_13488_001109	dei-lhe algum dinheiro no dia seguinte fil a transportar para a misericordia onde ella morreu uma semana depois minto amanheceu morta saiu da vida ás escondidas tal qual entrára
2961_13488_001110	desatou a chorar e para não attrahir gente mettia o lenço na boca recalcava os soluços explosão que me desconcertou
2961_13488_001111	tinha de morrer morreu um cubas capitulo xlv notas soluços lagrimas casa armada velludo preto nos portaes
2961_13488_001112	d placida não rejeitou uma só pagina da novella aceitou as todas era uma necessidade da consciencia ao cabo de seis mezes quem nos visse a todos tres juntos diria que d placida era minha sogra
2961_13488_001113	haverá uma critica tão perversa que possa attribuir a minha opinião sobre la bruyre á inveja das suas maximas eu aparo desde já esse golpe transcrevendo algumas das que compuz por aquelle tempo e rasguei logo depois por não me parecerem dignas do prélo
2961_13488_001114	conta tres phases humanitas a statica anterior a toda a creação a expansiva começo das cousas a dispersiva apparecimento do homem e contará mais uma a contractiva absorpção do homem e das cousas
2961_13488_001115	a necessidade de o regenerar de o trazer ao trabalho e ao respeito de sua pessôa enchia-me o coração eu começava a sentir um bem-estar uma elevação uma admiração de mim proprio nisto caía a noite fui ter com virgilia
2961_13488_001116	fosse como fosse tudo estava explicado mas não perdoado e menos ainda esquecido virgilia dizia-me uma porção de cousas duras ameaçava me com a separação emfim louvava o marido
2961_13488_001117	ao pescoço fluctuavam as pontas de uma gravata de duas cores ambas desmaiadas apertando um collarinho de oito dias creio que trazia tambem collete um collete de seda escura roto a espaços e desabotoado
2961_13488_001118	não era culpa della se o marido a amava disse-lhe que não me fizera cousa nenhuma que eu tinha necessariamente ciumes do outro que nem sempre o podia supportar de cara alegre accrescentei que talvez houvesse nelle muito de dissimulação e que o melhor meio de fechar a porta aos sustos e ás dissensões era aceitar a minha idéa da vespera
2961_13488_001119	você janta comnosco doutor disse-me o lobo neves veiu para isso mesmo confirmou a mulher diz que você possue o melhor vinho do rio de janeiro nem por isso bebe muito
2961_13488_001120	um só mundo um só casal uma só vida uma só vontade uma só affeição a unidade moral de todas as cousas pela exclusão das que me eram contrarias capitulo lxviii o vergalho
2961_13488_001121	um brinco nova caiada de fresco com quatro janellas na frente e duas de cada lado todas com venezianas côr de tijolo trepadeira nos cantos jardim na frente mysterio e solidão um brinco
2961_13488_001122	secreto essa meiga fatuidade que é a transpiração luminosa do merito mas seja ou não verdadeira a minha explicação basta-me deixar escripto nesta pagina para uso dos seculos que a indiscrição das mulheres é uma burla inventada pelos homens
2961_13488_001123	mas eu não era um discipulo servil ou medroso que deixasse de fazer uma ou outra objecção adequada andando disse-lhe que tinha uma duvida não estava bem certo da vantagem de disputar a comida aos cães elle respondeu-me com excepcional brandura
2961_13488_001124	desde então fiquei perdido virgilia comparou a aguia e o pavão e elegeu a aguia deixando o pavão com o seu espanto o seu despeito e tres ou quatro beijos que lhe dera talvez cinco beijos mas dez que fossem não queria dizer cousa nenhuma
2961_13488_001125	virgilia disse eu proponho te uma cousa que é amas-me oh suspirou ella cingindo me os braços ao pescoço
2961_13488_001126	neste ponto o quincas borba ponderou que o paganismo poderia ter chegado á verdade se se não houvesse amesquinhado com a parte galante dos seus mythos
2961_13488_001127	placida atroava a sala com exclamações e lastimas eu ouvia sem lhe dizer cousa nenhuma reflectia commigo se não era melhor ter fechado virgilia na alcova e ficado na sala mas adverti logo que seria peior confirmaria a suspeita e chegaria o fogo á polvora e uma scena de sangue
2961_13488_001128	já exclamei passou muito mal a noite fui vel-a achei-a na verdade quasi moribunda mas fallando ainda de descançar em lisboa alguns dias antes de ir commigo a coimbra porque era seu proposito levar-me á universidade deixei-a consternado
2961_13488_001129	outras vezes desciam a passear na chacara dando-lhe ella o braço que elle nem sempre aceitava por dizer-se rijo e capaz de andar uma legua iam sentavam-se tornavam a
2961_13488_001130	uma só vez me deitou os olhos mas muito de cima soerguendo a pontinha esquerda do labio contrahindo as sobrancelhas ao ponto de as unir e todo esse conjuncto de cousas dava-lhe ao rosto uma expressão media entre comica e tragica
2961_13488_001131	e se tal era o intuito força é confessar que a publicidade tornava-se uma condição sine qua non em summa poderia dever algumas attenções mas não devia um real a ninguem
2961_13488_001132	capitulo xvii do trapezio e outras cousas marcella amou me durante quinze mezes e onze contos de réis nada menos
